timestamp;buyer;seller;symbol;currency;price;quantity
4500;Mark 01;Mark 22;VEV_5400;XIRECS;18.0;2
4500;Mark 01;Mark 22;VEV_5500;XIRECS;8.0;2
4500;Mark 01;Mark 22;VEV_6000;XIRECS;0.0;2
4500;Mark 01;Mark 22;VEV_6500;XIRECS;0.0;2
5100;Mark 38;Mark 22;HYDROGEL_PACK;XIRECS;9960.0;4
5300;Mark 38;Mark 14;VEV_4000;XIRECS;1264.0;2
6100;Mark 55;Mark 01;VELVETFRUIT_EXTRACT;XIRECS;5255.0;3
6200;Mark 38;Mark 14;HYDROGEL_PACK;XIRECS;9955.0;5
9400;Mark 55;Mark 49;VELVETFRUIT_EXTRACT;XIRECS;5244.0;8
9600;Mark 01;Mark 22;VEV_5400;XIRECS;16.0;4
9600;Mark 01;Mark 22;VEV_5500;XIRECS;7.0;4
9600;Mark 01;Mark 22;VEV_6000;XIRECS;0.0;4
9600;Mark 01;Mark 22;VEV_6500;XIRECS;0.0;4
10400;Mark 67;Mark 49;VELVETFRUIT_EXTRACT;XIRECS;5240.0;12
11800;Mark 01;Mark 22;VEV_5500;XIRECS;7.0;4
11800;Mark 01;Mark 22;VEV_6000;XIRECS;0.0;4
11800;Mark 01;Mark 22;VEV_6500;XIRECS;0.0;4
14300;Mark 55;Mark 01;VELVETFRUIT_EXTRACT;XIRECS;5238.0;6
14800;Mark 01;Mark 55;VELVETFRUIT_EXTRACT;XIRECS;5232.0;6
14800;Mark 01;Mark 22;VEV_5300;XIRECS;42.0;4
14800;Mark 01;Mark 22;VEV_5400;XIRECS;14.0;4
14800;Mark 01;Mark 22;VEV_5500;XIRECS;6.0;4
14800;Mark 01;Mark 22;VEV_6000;XIRECS;0.0;4
14800;Mark 01;Mark 22;VEV_6500;XIRECS;0.0;4
15000;Mark 38;Mark 14;HYDROGEL_PACK;XIRECS;9966.0;4
16700;Mark 14;Mark 38;VEV_4000;XIRECS;1221.0;2
16700;Mark 01;Mark 22;VEV_5300;XIRECS;41.0;2
16700;Mark 01;Mark 22;VEV_5400;XIRECS;14.0;2
16700;Mark 01;Mark 22;VEV_5500;XIRECS;6.0;2
16700;Mark 01;Mark 22;VEV_6000;XIRECS;0.0;2
16700;Mark 01;Mark 22;VEV_6500;XIRECS;0.0;2
17300;Mark 14;Mark 38;VEV_4000;XIRECS;1221.0;1
17400;Mark 67;Mark 22;VELVETFRUIT_EXTRACT;XIRECS;5230.0;8
17900;Mark 38;Mark 14;VEV_4000;XIRECS;1243.0;1
19300;Mark 14;Mark 55;VELVETFRUIT_EXTRACT;XIRECS;5226.0;5
20200;Mark 14;Mark 55;VELVETFRUIT_EXTRACT;XIRECS;5224.0;5
22800;Mark 14;Mark 38;HYDROGEL_PACK;XIRECS;9946.0;6
25700;Mark 38;Mark 14;VEV_4000;XIRECS;1241.0;3
29300;Mark 14;Mark 55;VELVETFRUIT_EXTRACT;XIRECS;5237.0;4
30800;Mark 14;Mark 38;HYDROGEL_PACK;XIRECS;9940.0;2
31400;Mark 38;Mark 14;HYDROGEL_PACK;XIRECS;9953.0;3
31700;Mark 55;Mark 01;VELVETFRUIT_EXTRACT;XIRECS;5237.0;4
32000;Mark 14;Mark 38;HYDROGEL_PACK;XIRECS;9938.0;5
32600;Mark 55;Mark 01;VELVETFRUIT_EXTRACT;XIRECS;5240.0;5
32800;Mark 67;Mark 22;VELVETFRUIT_EXTRACT;XIRECS;5238.0;7
33600;Mark 14;Mark 38;HYDROGEL_PACK;XIRECS;9948.0;6
36200;Mark 38;Mark 14;VEV_4000;XIRECS;1244.0;3
36500;Mark 22;Mark 55;VELVETFRUIT_EXTRACT;XIRECS;5232.0;7
37400;Mark 14;Mark 38;HYDROGEL_PACK;XIRECS;9936.0;4
38500;Mark 01;Mark 22;VEV_5500;XIRECS;6.0;5
38500;Mark 01;Mark 22;VEV_6000;XIRECS;0.0;5
38500;Mark 01;Mark 22;VEV_6500;XIRECS;0.0;5
38700;Mark 01;Mark 55;VELVETFRUIT_EXTRACT;XIRECS;5228.0;8
39400;Mark 22;Mark 49;VELVETFRUIT_EXTRACT;XIRECS;5234.0;5
39400;Mark 67;Mark 49;VELVETFRUIT_EXTRACT;XIRECS;5233.0;9
39800;Mark 01;Mark 55;VELVETFRUIT_EXTRACT;XIRECS;5232.0;4
40400;Mark 01;Mark 22;VEV_5300;XIRECS;41.0;4
40400;Mark 01;Mark 22;VEV_5400;XIRECS;14.0;4
40400;Mark 01;Mark 22;VEV_5500;XIRECS;6.0;4
40400;Mark 01;Mark 22;VEV_6000;XIRECS;0.0;4
40400;Mark 01;Mark 22;VEV_6500;XIRECS;0.0;4
40900;Mark 38;Mark 14;HYDROGEL_PACK;XIRECS;9951.0;5
41300;Mark 38;Mark 14;HYDROGEL_PACK;XIRECS;9953.0;5
43400;Mark 01;Mark 22;VEV_5400;XIRECS;13.0;5
43400;Mark 01;Mark 22;VEV_5500;XIRECS;6.0;5
43400;Mark 01;Mark 22;VEV_6000;XIRECS;0.0;5
43400;Mark 01;Mark 22;VEV_6500;XIRECS;0.0;5
43600;Mark 01;Mark 55;VELVETFRUIT_EXTRACT;XIRECS;5229.0;4
