timestamp;buyer;seller;symbol;currency;price;quantity
10700;;;INTARIAN_PEPPER_ROOT;XIRECS;13023.0;6
14700;;;INTARIAN_PEPPER_ROOT;XIRECS;13012.0;2
21600;;;INTARIAN_PEPPER_ROOT;XIRECS;13020.0;2
25800;;;INTARIAN_PEPPER_ROOT;XIRECS;13017.0;6
28100;;;INTARIAN_PEPPER_ROOT;XIRECS;13021.0;2
29800;;;INTARIAN_PEPPER_ROOT;XIRECS;13034.0;4
31300;;;INTARIAN_PEPPER_ROOT;XIRECS;13020.0;6
31700;;;INTARIAN_PEPPER_ROOT;XIRECS;13023.0;2
46100;;;INTARIAN_PEPPER_ROOT;XIRECS;13052.0;4
47000;;;INTARIAN_PEPPER_ROOT;XIRECS;13047.0;7
49600;;;INTARIAN_PEPPER_ROOT;XIRECS;13048.0;4
50600;;;INTARIAN_PEPPER_ROOT;XIRECS;13045.0;5
52600;;;INTARIAN_PEPPER_ROOT;XIRECS;13050.0;8
56000;;;INTARIAN_PEPPER_ROOT;XIRECS;13048.0;9
56400;;;INTARIAN_PEPPER_ROOT;XIRECS;13046.0;5
60100;;;INTARIAN_PEPPER_ROOT;XIRECS;13050.0;10
61900;;;INTARIAN_PEPPER_ROOT;XIRECS;13061.0;2
62900;;;INTARIAN_PEPPER_ROOT;XIRECS;13063.0;8
63800;;;INTARIAN_PEPPER_ROOT;XIRECS;13068.0;3
70700;;;INTARIAN_PEPPER_ROOT;XIRECS;13067.0;10
74100;;;INTARIAN_PEPPER_ROOT;XIRECS;13081.0;6
77000;;;INTARIAN_PEPPER_ROOT;XIRECS;13063.0;9
83000;;;INTARIAN_PEPPER_ROOT;XIRECS;13081.0;5
86300;;;INTARIAN_PEPPER_ROOT;XIRECS;13095.0;10
90200;;;INTARIAN_PEPPER_ROOT;XIRECS;13073.0;9
99500;;;INTARIAN_PEPPER_ROOT;XIRECS;13091.0;6
100600;;;INTARIAN_PEPPER_ROOT;XIRECS;13094.0;9
102300;;;INTARIAN_PEPPER_ROOT;XIRECS;13102.0;7
106400;;;INTARIAN_PEPPER_ROOT;XIRECS;13096.0;10
107100;;;INTARIAN_PEPPER_ROOT;XIRECS;13104.0;7
